#type,size,gDim,bDim,stride,modulo,clock
Shared_memory_bank_conflict_test, 512,   1,  64,  46,32768, 444
Shared_memory_bank_conflict_test, 512,   1,  64,  47,32768, 498
Shared_memory_bank_conflict_test, 512,   1,  64,  48,32768, 110
Shared_memory_bank_conflict_test, 512,   1,  64,  49,32768, 528
Shared_memory_bank_conflict_test, 512,   1,  64,  50,32768, 473
Shared_memory_bank_conflict_test, 512,   1,  64,  51,32768, 527
Shared_memory_bank_conflict_test, 512,   1,  64,  52,32768, 110
Shared_memory_bank_conflict_test, 512,   1,  64,  53,32768, 557
Shared_memory_bank_conflict_test, 512,   1,  64,  54,32768, 502
Shared_memory_bank_conflict_test, 512,   1,  64,  55,32768, 558
Shared_memory_bank_conflict_test, 512,   1,  64,  56,32768, 109
Shared_memory_bank_conflict_test, 512,   1,  64,  57,32768, 588
Shared_memory_bank_conflict_test, 512,   1,  64,  58,32768, 533
Shared_memory_bank_conflict_test, 512,   1,  64,  59,32768, 592
Shared_memory_bank_conflict_test, 512,   1,  64,  60,32768, 110
Shared_memory_bank_conflict_test, 512,   1,  64,  61,32768, 617
Shared_memory_bank_conflict_test, 512,   1,  64,  62,32768, 562
Shared_memory_bank_conflict_test, 512,   1,  64,  63,32768, 838
Shared_memory_bank_conflict_test, 512,   1,  64,  64,32768, 109
Shared_memory_bank_conflict_test, 512,   1, 128,   1,32768, 108
Shared_memory_bank_conflict_test, 512,   1, 128,   2,32768, 110
Shared_memory_bank_conflict_test, 512,   1, 128,   3,32768, 192
Shared_memory_bank_conflict_test, 512,   1, 128,   4,32768, 140
Shared_memory_bank_conflict_test, 512,   1, 128,   5,32768, 192
Shared_memory_bank_conflict_test, 512,   1, 128,   6,32768, 139
Shared_memory_bank_conflict_test, 512,   1, 128,   7,32768, 253
Shared_memory_bank_conflict_test, 512,   1, 128,   8,32768, 166
Shared_memory_bank_conflict_test, 512,   1, 128,   9,32768, 283
Shared_memory_bank_conflict_test, 512,   1, 128,  10,32768, 165
Shared_memory_bank_conflict_test, 512,   1, 128,  11,32768, 342
Shared_memory_bank_conflict_test, 512,   1, 128,  12,32768, 199
Shared_memory_bank_conflict_test, 512,   1, 128,  13,32768, 373
Shared_memory_bank_conflict_test, 512,   1, 128,  14,32768, 200
Shared_memory_bank_conflict_test, 512,   1, 128,  15,32768, 433
Shared_memory_bank_conflict_test, 512,   1, 128,  16,32768, 230
Shared_memory_bank_conflict_test, 512,   1, 128,  17,32768, 462
